condition,neuron,population,rate_hz,tp_pre,fp_pre,tp_post,fp_post,predicted_out
mauve,172,E5,2.1667,25,26,16,17,51
mauve,173,E5,2.1667,31,28,9,20,59
mauve,174,E5,2.1611,13,14,14,14,27
mauve,175,E5,2.1633,19,8,19,5,27
mauve,176,E5,2.1656,32,13,14,10,45
mauve,177,E5,2.1644,19,9,13,12,28
mauve,178,E5,2.1656,22,12,12,15,34
mauve,179,E5,2.1678,21,20,20,10,41
mauve,180,E5,2.1667,11,4,12,11,15
mauve,181,E5,2.1667,24,9,20,7,33
mauve,182,E5,2.1622,11,3,15,7,14
mauve,183,E5,2.1656,14,18,14,15,32
mauve,184,E5,2.1644,15,2,15,9,17
mauve,185,E5,2.1656,15,7,16,10,22
mauve,186,E5,2.1567,11,2,16,4,13
mauve,187,E5,2.1611,13,8,17,7,21
mauve,188,E5,2.1622,10,6,14,14,16
mauve,189,E5,2.1656,34,31,17,6,65
mauve,190,E5,2.1667,20,10,17,14,30
mauve,191,E5,2.1533,4,5,14,5,9
mauve,192,E5,2.1656,15,8,11,17,23
mauve,193,E5,2.1122,1,9,9,2,10
mauve,194,E5,2.1667,15,33,14,17,48
mauve,195,E5,2.1544,3,2,11,3,5
mauve,196,E5,2.1667,23,9,13,16,32
mauve,197,E5,2.1656,27,12,13,12,39
mauve,198,E5,2.1578,3,4,12,3,7
mauve,199,E5,2.1678,14,19,17,17,33
mauve,200,E5,2.1644,15,6,16,8,21
mauve,201,E5,2.14,4,11,15,4,15
mauve,202,E5,2.1622,15,3,12,8,18
mauve,203,E5,2.1644,17,4,16,11,21
mauve,204,E5,2.1633,20,9,15,11,29
mauve,205,E5,2.1667,23,33,15,18,56
mauve,206,E5,2.1667,11,6,14,8,17
mauve,207,E5,2.1511,6,3,13,10,9
mauve,208,E5,2.1511,4,2,9,12,6
mauve,209,E5,2.1067,1,11,11,5,12
mauve,210,E5,2.1644,9,3,9,18,12
mauve,211,E5,2.1322,5,5,11,4,10
mauve,212,E5,2.15,5,3,8,9,8
mauve,213,E5,2.16,4,6,10,5,10
mauve,214,E5,2.1667,22,15,15,8,37
mauve,215,E5,2.1667,22,12,12,18,34
mauve,216,E5,2.1567,6,2,13,11,8
mauve,217,E5,2.1578,2,1,13,4,3
mauve,218,E5,2.1489,7,5,8,8,12
mauve,219,E5,2.1622,18,9,13,13,27
mauve,220,E5,2.1633,5,2,13,3,7
mauve,221,E5,2.1578,2,7,13,8,9
mauve,222,E5,2.1667,16,16,14,16,32
mauve,223,E5,2.1589,16,9,14,11,25
mauve,224,E5,2.1667,17,13,19,9,30
mauve,225,E5,2.1578,1,1,14,6,2
mauve,226,E5,2.1656,14,4,17,11,18
mauve,227,E5,2.1622,12,6,12,7,18
mauve,228,E5,2.1622,11,3,20,10,14
mauve,229,E5,2.1667,20,23,14,11,43
mauve,230,E5,2.1622,5,5,14,8,10
mauve,231,E5,2.1667,27,20,14,10,47
mauve,232,E5,2.1644,15,6,19,5,21
mauve,233,E5,2.1622,14,9,17,14,23
mauve,234,E5,2.1556,5,4,9,7,9
mauve,235,E5,2.1644,23,5,17,11,28
mauve,236,E5,2.1578,7,8,9,10,15
mauve,237,E5,2.1544,4,2,16,7,6
mauve,238,E5,2.1622,5,1,13,9,6
mauve,239,E5,2.1556,6,1,14,4,7
mauve,240,E5,2.1578,8,4,15,4,12
mauve,241,E5,2.1456,2,6,16,7,8
mauve,242,E5,2.1644,19,4,16,13,23
mauve,243,E5,2.1633,22,6,12,16,28
mauve,244,E5,2.1656,24,26,14,11,50
mauve,245,E5,2.1589,2,6,18,5,8
mauve,246,E5,2.1522,4,4,9,4,8
mauve,247,E5,2.1311,3,24,13,2,27
mauve,248,E5,2.0767,1,14,10,10,15
mauve,249,E5,2.1644,13,5,13,11,18
mauve,250,E5,2.1667,18,11,15,13,29
mauve,251,E5,2.1622,7,2,12,8,9
mauve,252,E5,2.0956,0,11,7,7,11
mauve,253,E5,2.1633,25,3,15,12,28
mauve,254,E5,2.1533,2,9,15,3,11
mauve,255,E5,2.1367,1,12,13,3,13
mauve,256,E5,2.1644,17,9,12,7,26
mauve,257,E5,2.1611,6,1,14,11,7
mauve,258,E5,2.1589,8,4,8,8,12
mauve,259,E5,2.1644,15,11,17,8,26
mauve,260,E5,2.1633,12,7,16,14,19
mauve,261,E5,2.1633,21,10,11,11,31
mauve,262,E5,2.1589,4,4,11,10,8
mauve,263,E5,2.1656,19,4,15,4,23
mauve,264,E5,2.1567,14,5,16,7,19
mauve,265,E5,2.1656,31,6,11,10,37
mauve,266,E5,2.1611,19,9,10,10,28
mauve,267,E5,2.1644,21,7,19,10,28
mauve,268,E5,2.1644,27,9,14,13,36
mauve,269,E5,2.1411,4,1,13,8,5
mauve,270,E5,2.1656,29,14,15,17,43
mauve,271,E5,2.1656,19,15,12,10,34
mauve,272,E5,2.1667,20,6,16,10,26
mauve,273,E5,2.1544,3,10,10,10,13
mauve,274,E5,2.1656,22,9,17,18,31
mauve,275,E5,2.1556,5,4,13,7,9
mauve,276,E5,2.1644,14,9,17,11,23
mauve,277,E5,2.1367,0,11,13,7,11
mauve,278,E5,2.1578,22,12,17,11,34
mauve,279,E5,2.1622,11,1,13,12,12
mauve,280,E5,2.1533,6,2,6,7,8
mauve,281,E5,2.1667,23,8,13,15,31
